Title,Reviews,Review_Points,Address,Website,Phone,latitude,longitude,Category
Cafe Macaw,421 reviews,4.2,"Head Office, Bahria Enclave Civic Zone Center, Sector I Islamabad, Islamabad Capital Territory 45401, Pakistan",facebook.com,092 51 2721060,33.6829872,73.2507934,Pakistani restaurant
Al Ibrahimi Restaurant,704 reviews,4.3,"Commercial Ave, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",alibrahimirestaurant.pk,092 51 2721857,33.6894912,73.2133407,Pakistani restaurant
Smokey's Bistro,11 reviews,4.5,"Plot 9 Commercial Ave, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 51 8433005,33.6888957,73.2113584,Fast food restaurant
Hot n Spicy to night,78 reviews,4.0,"M6Q6+HHP, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 315 2232066,33.6889677,73.2114479,Pakistani restaurant
FFC,5 reviews,4.0,"M6Q6+HH6, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 310 5555202,33.688918,73.2113779,Pakistani restaurant
Chattha's,27 reviews,4.6,"Urban Blvd, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory 44000, Pakistan",Add website,092 51 6110584,33.6922045,73.2188777,Pakistani restaurant
Variety Naan Shop,2 reviews,5.0,"Basement Floor,Jan Arcade, Commercial Ave, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6885833,73.2108192,Pakistani restaurant
Quick Cook (Pvt.) Ltd.,7 reviews,4.1,"Sector E Bahria Enclave, Islamabad, Islamabad Capital Territory 45550, Pakistan",quickcook.pk,092 310 5646464,33.6899586,73.2101882,Pakistani restaurant
Pizza Originale,72 reviews,4.3,"Sector C Bahria Enclave, avenue, Islamabad, Islamabad Capital Territory 44220, Pakistan",Add website,092 51 2721454,33.6868967,73.212362!,Pakistani restaurant
Bella Italian,47 reviews,4.3,"Lake View Rd, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 335 1116112,33.6948663,73.2136708,Pakistani restaurant
Saucy Spoon,22 reviews,5.0,"31 Enclave Ave, Sector C Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",facebook.com,092 315 5512828,33.6884683,73.2159135,Fast food restaurant
ÃÂÃÂ·ÃÂ¹ÃÂ ÃÂÃÂ¹ÃÂÃÂ ÃÂÃÂÃÂ¯ÃÂ Mualim Mandi Restaurant,24 reviews,4.6,"Urban Blvd, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory 44000, Pakistan",mualimmandi.com,092 51 8911137,33.6888666,73.210943!,Pakistani restaurant
Peshawari Naan Shop,21 reviews,4.7,"Commercial Ave, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 311 9588326,33.6894082,73.2118405,Pakistani restaurant
Shahi Samosa & Family Refreshment Center,16 reviews,4.4,"J5VX+6G5, Al-Huda Town, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 300 5056232,33.6429983,73.1988625,Cafe
Hot N Chilli Restaurant,4 reviews,4.8,"Commercial Ave, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 304 9555568,33.6886105,73.2121621,Pakistani restaurant
Desi Bite,3 reviews,4.0,"M6Q6+PP2, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 342 5554160,33.6892642,73.2117665,Fast food restaurant
Skhi Ljpall hotel & Gurmani ketring,1 review,5.0,"St. 21A, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6926274,73.2208771,Pakistani restaurant
Lava Cafe & Grill,171 reviews,4.4,"Spring Valley Society Phulgran, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 335 9193555,33.735364,73.2151201,Cafe
Moodys Bistro & Lounge,200 reviews,4.5,"Empire Heights II, Bahria Town Phase VI Phase 6 Bahria Town, Islamabad, Punjab, Pakistan",facebook.com,092 330 5264525,33.5555662,73.1374079,Cafe
Gossip the Cafe,117 reviews,4.3,"Shop, Street 29-A, Phase 4 Civic Center Bahria Town, Islamabad, Punjab 44000, Pakistan",m.facebook.com,092 51 2711206,33.5510125,73.1223692,Cafe
CafÃÂ© Sol,485 reviews,4.5,"The Riviera, St 41, Phase 4 Bahria Town, Islamabad, Punjab, Pakistan",cafesolpk.com,092 317 5637344,33.5499271,73.1374294,Cafe
Juiccipzz,3 reviews,4.0,"no. 5 Commercial Ave, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6885579,73.2112387,Fast food restaurant
Patty n Bun Islamabad,18 reviews,4.6,"Shop 3, Sahara Arcade, Urban Blvd, Sector A Bahria Enclave, Islamabad, 46000, Pakistan",business.site,092 333 3141458,33.6898419,73.2114779,Fast food restaurant
The Frosty's Cafe,98 reviews,4.2,"Plot # 78ÃÂ Phase 4 Block B Civic Center Bahria Town, Islamabad, Punjab 46220, Pakistan",facebook.com,092 51 5411495,33.5507996,73.1240873,Cafe
The Tea Craft,89 reviews,4.4,"101, Civic Center Bahria Town Civic Center Bahria Town, Islamabad, Rawalpindi, Punjab, Pakistan",theteacraft.com,092 51 2728911,33.5497653,73.1247461,Cafe
BREZEL PATISSERIE & DINER,269 reviews,4.4,"Phase 4, 153-M, Civic Center Bahria Town Civic Center Bahria Town, Islamabad, Punjab, Pakistan",Add website,092 51 2724377,33.5490588,73.1225756,Cafe
The Shawarma Company,2 reviews,5.0,"Sunshine plaza no. 23 main avenue, Sector C Bahria Enclave, Islamabad, Pakistan",facebook.com,092 348 4455804,33.6881095,73.2151897,Other
Chikachino,935 reviews,4.2,"Park Road, Bahria Town Phase IV Phase 4 Bahria Town, Islamabad, Punjab 44000, Pakistan",Add website,092 51 5146056,33.5483018,73.1317048,Cafe
koyla restaurant and cafe,3 reviews,5.0,"162 Southern Ave, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 335 9527938,33.5490823,73.124709!,Cafe
The Hot Spot Cafe,348 reviews,4.2,"Park Road, behind The ArenaÃÂ Bahria Town Phase IV Phase 4 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",thehotspotcafe.net,092 51 5732540,33.5480556,73.1322222,Cafe
OPTP-BAHRIA ENCLAVE,355 reviews,4.1,"42 Urban Blvd, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory 46000, Pakistan",Add website,092 51 8486800,33.6887033,73.2104826,Fast food restaurant
chaayÃÂ© khana,"6,500 reviews",4.3,"Main Blvd, Bahria Town Phase V Phase 5 Punjab Phase 4ÃÂ Rawalpindi, Islamabad, Punjab, Pakistan",chaayekhana.com,092 51 5733673,33.5519285,73.1252889,Other
The dropouts bahria town,21 reviews,4.3,"132, Civic Center, Block C Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,Add place's phone number,33.5502274,73.1257549,Cafe
Aroma Teas & Coffee,6 reviews,5.0,"153 S Main Blvd, Civic Center Bahria Town Civic Center Bahria Town, Islamabad, Punjab 44000, Pakistan",Add website,092 318 5119007,33.5490031,73.1225922,Cafe
Frosty Terrace,350 reviews,4.5,"riveria food court, St 41-A, Phase 4 Bahria Town, Islamabad, Punjab 46220, Pakistan",Add website,092 332 5540626,33.5502081,73.1377032,Cafe
Adeel sweets & General store,4 reviews,4.8,"M6M2+GF8, Sector C2 Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6837971,73.2012032,Cafe
Sky_line-lounge,48 reviews,4.3,"Plaza, 134, near kfc, opposite grand hotel, Civic Center Islamabad, Rawalpindi, 46220, Pakistan",koylaterrace.business.site,092 333 5464314,33.5506315,73.1255871,Cafe
Flame lounge,89 reviews,4.7,"849, Bahria Town Phase VI Phase 6 Bahria Town, Rawalpindi, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.5556301,73.1374035,Cafe
Meseta Coffee,807 reviews,4.6,"The RivieraÃÂ St 41-A, Phase 4 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",meseta.it,092 51 5734236,33.5503654,73.1372332,Coffee shop
Carnivore Grill,19 reviews,4.2,"H42F+9WF, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 312 5507418,33.5509381,73.1247911,Cafe
Cafe Kings Lounge,74 reviews,4.5,"G4XF+Q7Q, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 334 8868889,33.5494522,73.1232391,Cafe
Lion's cafe & Roof Top Restaurant,4 reviews,5.0,"Phase 4, Lions cafe, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab 46000, Pakistan",Add website,092 300 5300404,33.5495076,73.1234466,Cafe
Date and Time Steak House and Coffee Shop,31 reviews,4.4,"1st floor maaz arcade, Civic Center Bahria Town Civic Center Bahria Town, Islamabad, Punjab 46000, Pakistan",dateandtimesteakhouse.com.pk,092 51 2711313,33.550551,73.1254234,Steak house
Quetta Insaf Cafe,23 reviews,4.4,"back on rasheed sweets, Bahria Town Phase IV Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 311 2020123,33.5492513,73.1234745,Cafe
Moringa Food Court (MFC),60 reviews,4.5,"Mohran Jejan, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 51 5402280,33.6835669,73.1579687,Cafe
Chai Junction,540 reviews,4.2,"Riveria Food Court, St 41, Bahria Town Phase IV Phase 4 Bahria Town, Islamabad, Punjab 44000, Pakistan",chaijunction.business.site,092 347 8089808,33.5501303,73.1371929,Other
Arabian nights cafe and grill,2 reviews,5.0,"134, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 333 3433390,33.5505988,73.1256204,Cafe
New York Coffee,379 reviews,4.3,"Plot No. 12, Theme Park Avenue, Bahria Intellectual Village Islamabad, 46620, Pakistan",business.site,092 309 0864493,33.5289402,73.0982536,Pakistani restaurant
Pepper Town Cafe,6 reviews,4.2,"H42G+F83, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 335 5215444,33.5511346,73.1257903,Cafe
A&Ks eatery,3 reviews,4.3,"Simly Dam Road, seri chowk, Pind Begwal, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 313 3002202,33.7087291,73.2463145,Cafe
Quetta ÃÂÃÂÃÂ Cafe,14 reviews,4.5,"Heights ||, phase 4/6 Bahria Town, Islamabad, 46000, Pakistan",quetta-moon-cafe.business.site,092 321 5800001,33.5521607,73.1386447,Other
Arabian cafe,2 reviews,4.5,"G4C3+CCJ, Phase 7 Sector F Bahria Town, Rawalpindi, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 304 3451133,33.5210977,73.1035082,Cafe
Roasters Coffee House & Grill,"1,791 reviews",4.2,"De One Plaza, Spring North, Phase 7 Bahria Town, Rawalpindi, Islamabad Capital Territory, Pakistan",Add website,092 51 2728010,33.5267488,73.0959441,Pakistani restaurant
Chillax Cafe,11 reviews,4.6,"169-A torch plaza, Civic Center Bahria Town Phase 4 Bahria Town, Islamabad, Punjab, Pakistan",Add website,092 51 8990800,33.5491717,73.1236654,Fast food restaurant
F&B Refreshment Cafe,3 reviews,4.0,"Unnamed Road, Madina, Islamabad, Islamabad Capital Territory 44000, Pakistan",business.site,092 316 5401778,33.6318498,73.1699963,Fast food restaurant
Salt n Sweet Bakers,29 reviews,4.7,"3rd Ave, Sector G Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 335 5123188,33.6836229,73.2429761,Bakery
Hot and spicy,14 reviews,3.9,"31 Enclave Ave, Sector C Siwerah, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 333 9411032,33.6884631,73.2158951,Fast food restaurant
Cloud 9,112 reviews,4.4,"G4XC+PXW, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,Add place's phone number,33.549365,73.122457!,Pakistani restaurant
Alyan cafe,1 review,5.0,"M634+H7R, Frash Town, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6539699,73.2056363,Cafe
Gloria Jean's Coffees,"1,410 reviews",4.2,"Mohammad Rafi Bridge, Safari Villas, Rawalpindi, Punjab, Pakistan",gloriajeanscoffees.com.pk,092 51 5733184,33.5550896,73.1252583,Coffee shop
Loafology,104 reviews,4.1,"P4C4+MJ9, Ramna 5 Diplomatic Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 51 8356643,33.7216735,73.1066116,Coffee shop
The Ivy CafÃÂ©,15 reviews,4.3,"Street 4, Ramna 5 Diplomatic Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 51 8356500,33.7214507,73.1066782,Pakistani restaurant
Kamran Cafe,18 reviews,4.1,"Rawal Dam Rd, Rawal Dam Colony, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 312 5339006,33.6908491,73.1135733,Cafe
Coffee Planet,"1,576 reviews",4.3,"Opp. DHA SignalÃÂ Zenith PlazaÃÂ Bahria Expy, Phase 8 Sector F Bahria Town, Rawalpindi, Islamabad Capital Territory, Pakistan",coffeeplanet.com,092 51 5400283,33.5209859,73.1036814,Coffee shop
Dania's Cook House,17 reviews,4.9,"76 Avenue 1, Islamabad, Islamabad Capital Territory, Pakistan",daniascookhouse.com,092 309 0949392,33.6871642,73.2440169,Pakistani restaurant
The Basement Cafe',7 reviews,4.0,"Plaza#98, shop#1, main civic center, near alfalah bank, Phase 4 Bahria Town, Islamabad, 46220, Pakistan",business.site,092 51 2744289,33.5501189,73.124601!,Pakistani restaurant
Cafe Ice Berg,686 reviews,4.4,"Plaza 10, 1st FloorÃÂ Phase 4 Civic Center Bahria Town, Rawalpindi, Punjab 46000, Pakistan",Add website,092 333 5999711,33.5508724,73.1229337,Pakistani restaurant
Ice Smoke,3 reviews,3.7,"29 Urban Blvd, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.68974,73.2117672,Ice cream shop
ÃÂÃÂÃÂ ÃÂ©ÃÂÃÂ¦ÃÂ¹ÃÂ ÃÂ´ÃÂÃÂ³ ÃÂ©ÃÂÃÂÃÂ,1 review,5.0,"M634+HF6, Frash Town, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 301 2290519,33.6539147,73.2061548,Coffee shop
Quetta Karavan Cafe,14 reviews,4.4,"M5J4+G6F, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6813118,73.1555504,Pakistani restaurant
Mearoffs Cafe,189 reviews,4.2,"Bahria Expy, Sector F DHA Phase 1, Rawalpindi, Islamabad Capital Territory, Pakistan",facebook.com,092 51 5155096,33.5179858,73.0864376,Cafe
New Quetta Pakistan cafe,4 reviews,5.0,"Service Rd E, Iqbal Town, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6467546,73.1025885,Pakistani restaurant
UDON WOK,7 reviews,5.0,"Jinnah Ave, Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 315 5474404,33.6834998,73.1580324,Pakistani restaurant
House Retro,698 reviews,4.3,"Empire Heights II, Phase 6 Bahria Town, IslamabadÃÂ Phase 6 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 306 5147147,33.5559622,73.1371333,Pakistani restaurant
Nocciola Chocolaterie,83 reviews,4.4,"Bahria Heights 3, extÃÂ opposite The ArenaÃÂ Bahria Town Phase IV Phase 4 Bahria Town, Rawalpindi, Islamabad, Punjab 46000, Pakistan",facebook.com,092 300 5130031,33.548507,73.1323625,Other
Healthy Food Point,24 reviews,4.5,"M544+GCR, Meherban Colony Chatta Bakhtawar, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 303 5721114,33.6563666,73.1560081,Cafe
Juice Max,25 reviews,4.6,"Sahara Arcade, Urban Blvd, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory 44000, Pakistan",Add website,092 320 1579882,33.689729,73.2118305,Juice shop
Street 1 CafÃÂ©,334 reviews,4.3,"Unit #1 Building # 1, G-5 Markaz, Capital Territory Ramna 5ÃÂ F-6/3 Diplomatic Enclave, Islamabad, Islamabad Capital Territory 44000, Pakistan",Add website,092 51 2832246,33.7218262,73.1074309,Other
Bismillah cafe one,7 reviews,3.7,"Unnamed Road, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 51 5731455,33.5508796,73.124445!,Pakistani restaurant
Wildmen Restaurant,613 reviews,4.3,"Bahria Town Phase IV Phase 4 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 51 5146018,33.5483125,73.1319375,Pakistani restaurant
Abdur Rahman Milk shake and Tuc Shop,1 review,5.0,"Unnamed Road, Frash Town, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 340 0878419,33.6539615,73.2058918,Coffee shop
Quetta Dildar Cafe,35 reviews,3.3,"H42F+3C8, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 318 8021648,33.5501689,73.1235754,Pakistani restaurant
Rumba,193 reviews,4.4,"Marina, 18 Corniche Road, Commercial Ave, Islamabad, 46220, Pakistan",rumba.pk,092 307 0786220,33.546446,73.1270127,Pakistani restaurant
Jade CafÃÂ© - Chinatown Szechuan Cuisine,798 reviews,3.9,"Plaza # 32, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 51 2728811,33.5507926,73.1225397,Pakistani restaurant
Cafe Trieste,"1,155 reviews",4.3,"Bahria Expy, Sector F DHA Phase 1, Rawalpindi, Islamabad Capital Territory, Pakistan",cafe-trieste.business.site,092 51 5400170,33.5222469,73.0940413,Pakistani restaurant
Melodious Lounge Steak House Continental & Chinese Restaurant,146 reviews,4.4,"Plaza # 79, Bahria Town Phase IV Civic Center Bahria Town, Islamabad, Punjab 46220, Pakistan",melodiouslounge.com,092 51 2711479,33.5507619,73.124503!,Pakistani restaurant
Melodious Lounge Cuisine Phase 4 Bahria Town Islamabad,3 reviews,5.0,"Plaza 79, Ground Floor, Bahria Town Phase IV Civic Center Rawalpindi, 46220, Pakistan",melodiouslounge.com,092 51 2711479,33.5508329,73.1238794,Pakistani restaurant
Pappu Chai Wala,"1,216 reviews",4.2,"BasementÃÂ 169-F Block D St, Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 51 2724142,33.5494549,73.123219!,Pakistani restaurant
Jammin'Java CafÃÂ©,2 reviews,3.5,"H42F+6MM, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,Add place's phone number,33.5505789,73.1241779,Other
Kallisto,"5,202 reviews",4.2,"Bahria Spring NorthÃÂ Shaheen ChowkÃÂ Phase 7 Bahria Town Intellectual Village, Rawalpindi, Islamabad Capital Territory, Pakistan",Add website,092 332 6251111,33.523755,73.0902239,Pakistani restaurant
Swiss Cafe Bahria Town,56 reviews,4.5,"Plaza no 157 Spring north Phase 7 Bahria TownÃÂ Bahria Town Intellectual Village, Rawalpindi, Islamabad Capital Territory 46220, Pakistan",swisscafe.eu,092 51 5400164,33.5214842,73.0899761,Other
Chikachino,"3,652 reviews",4.1,"F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory 46000, Pakistan",chikachino.co,Add place's phone number,33.7205044,73.0576221,Cafe
Ox & Grill Continental Restaurant,"1,405 reviews",4.4,"Phase 4 Phase 6 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",m.facebook.com,092 51 5734114,33.5519683,73.1388376,Other
Skydine Revolving Restaurant,399 reviews,4.5,"7th Floor, STS Mall, Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab 46000, Pakistan",business.site,092 317 8555000,33.5495583,73.1219735,Pakistani restaurant
Read & Eat Cafe,15 reviews,4.7,"Jinnah Ave, Mohran Jejan, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 300 2582090,33.6837818,73.1579653,Pakistani restaurant
Toast'd Cafe and Bakery,120 reviews,4.2,"Popular Gas Station ( Shell, Aabpara Islamabad, 44000, Pakistan",Add website,092 320 6862783,33.7093043,73.0919642,Bakery
MarcoÃ¢ÂÂs Pizza & More,63 reviews,4.6,"H44P+5W9, Bahria Town Phase VI Phase 6 Bahria Town, Islamabad, Punjab 44000, Pakistan",facebook.com,092 300 0627267,33.555395,73.137386!,Pakistani restaurant
Houston Steak House,772 reviews,4.3,"33-A Corniche Road, Phase 4 Bahria Town, Islamabad, Punjab, Pakistan",facebook.com,092 51 5732833,33.5453058,73.1324631,Pakistani restaurant
"Quetta Tea Stall Ghori Town, Islamabad",157 reviews,4.3,"Ghori Town Rd, Ghauri Town Phase 5-B Phase 4B Ghauri Town, Islamabad, Islamabad Capital Territory 45550, Pakistan",m.facebook.com,092 310 1581820,33.6187734,73.1393687,Pakistani restaurant
Slider Zone,569 reviews,4.2,"BahriaÃÂ Food St, near Green ValleyÃÂ Rawalpindi, Islamabad Capital Territory 46000, Pakistan",Add website,092 51 8444450,33.5302246,73.0989308,Pakistani restaurant
Diva,"1,752 reviews",4.2,"Eye View Park, intellectual Village, Phase 7 Bahria Town, Rawalpindi, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 336 6663482,33.5333375,73.0990275,Pakistani restaurant
Mariano Restaurant & Spa,"1,038 reviews",4.4,"Golf City Ave, Islamabad, Rawalpindi, Punjab, Pakistan",marianorestaurant.com,092 51 111 317 317,33.7853438,73.280205!,Pakistani restaurant
Khao Piyo,16 reviews,4.8,"Empire Heights II, Shop # LG 02, Block A, Commercial Phase VI Phase 6 Bahria Town, Rawalpindi, Islamabad, Islamabad Capital Territory 46220, Pakistan",business.site,092 311 1507995,33.5561408,73.1368506,Pakistani restaurant
Adelante Steak House,431 reviews,4.5,"St 31, Civic Center Bahria Town Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 51 2728931,33.551185,73.1226309,Steak house
Downtown Slice,576 reviews,4.4,"Plot 49, Bahria Town Phase V Civic Center Bahria Town, Rawalpindi, Islamabad, Punjab 46000, Pakistan",downtownslice.com,092 51 5733888,33.5519654,73.1257217,Pakistani restaurant
BBQ Bazaar,199 reviews,4.2,"Shop 29-C, Civic Center, Phase 4 Bahria Town, Islamabad, Punjab, Pakistan",facebook.com,092 51 2711442,33.5511457,73.1226226,Pakistani restaurant
Roasters Coffee House & Grill,59 reviews,4.3,"1 Agha Khan Rd, F-6 Markaz F 6 Markaz F-6, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 314 5209300,33.7305587,73.0791198,Pakistani restaurant
Chaska Angari Tikka point,1 review,5.0,"Al nafay 3 police foudicen bahria gade, Street 2, Phase VI, Phase 6 Bahria Town, Islamabad, Punjab, Pakistan",Add website,092 347 5485620,33.5521681,73.1394268,Pakistani restaurant
Dine In The Restaurant,4 reviews,4.5,"LG 1-5 Plaza#139,Civic Center Bahria Phase4, Phase 4 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",Add website,092 51 2728741,33.5497653,73.1305351,Pakistani restaurant
New Haq Bahu Restaurant,63 reviews,4.2,"Street 3, Mohran Jejan, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 300 5089984,33.6820383,73.1569544,Pakistani restaurant
Curbside Kitchen,53 reviews,4.8,"Curbside Kitchen, Basement Floor, Plaza 65 Service Road, Bahria Expy, Phase 7 Bahria Town, Islamabad, 44620, Pakistan",Add website,092 303 0866000,33.5225533,73.098074!,Fast food restaurant
Allah Badshah Hotal,1 review,5.0,"Jagiot Rd, Pind Begwal, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.7078773,73.2472343,Pakistani restaurant
Restaurant King,38 reviews,4.9,"Jinnah Ave, near Nasir Arcade, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6860676,73.1645779,Pakistani restaurant
Cock 'N' Bull,632 reviews,4.1,"Unit 5, Asif Arcade, Crescent MallÃÂ Central Ave, Rawalpindi, 44000, Pakistan",facebook.com,092 51 4491999,33.5572829,73.1363771,Fast food restaurant
Quetta Gala Cafe,11 reviews,4.7,"Ramzan Market, Bani Gala, Islamabad, Islamabad Capital Territory 44000, Pakistan",Add website,092 342 1907924,33.713194,73.166047!,Pakistani restaurant
